ID,Book length (mins)_overall,Book length (mins)_avg,Price_overall,Price_avg,Review,Review 10/10,Minutes listened,Completion,Support Requests,Last visited minus Purchase date,Target
873,2160,2160,10.13,10.13,No,?,0,0,0,0,Yes
611,1404,2808,6.66,13.33,Yes,6.5,0,0,0,182,Yes
705,324,324,10.13,10.13,Yes,9,0,0,1,334,Yes
391,1620,1620,15.31,15.31,Yes,9,0,0,0,183,Yes
819,432,1296,7.11,21.33,Yes,9,0,0,0,0,Yes
138,2160,2160,10.13,10.13,Yes,9,0,0,0,5,Yes
396,1404,2808,6.67,13.33,Yes,7,0,0,0,90,Yes
111,1231.2,6156,7.15,35.73,Yes,9,0,0,0,2,Yes
348,1188,1188,6.92,6.92,No,?,0,0,0,2,Yes
160,1188,1188,8.61,8.61,No,?,0,0,0,60,Yes
86,1134,2268,10.13,20.27,Yes,10,0,0,0,282,Yes
545,1620,1620,5.33,5.33,Yes,8,0,0,0,33,Yes
178,1188,1188,10.13,10.13,Yes,10,0,0,0,192,Yes
961,756,1512,7.73,15.47,No,?,0,0,0,0,Yes
280,1188,1188,10.13,10.13,No,?,0,0,1,113,Yes
118,540,540,5.33,5.33,No,?,0,0,0,46,Yes
919,1404,2808,5.33,10.67,No,?,0,0,0,0,Yes
792,1674,3348,7.18,14.37,No,?,0,0,0,132,Yes
821,1620,1620,5.87,5.87,No,?,0,0,0,253,Yes
854,2160,2160,5.87,5.87,No,?,0,0,0,30,Yes
880,1620,1620,6.14,6.14,Yes,9,0,0,0,294,Yes
943,1188,1188,5.87,5.87,No,?,0,0,0,0,Yes
539,1188,1188,6.4,6.4,No,?,0,0,0,0,Yes
589,756,1512,7.2,14.4,No,?,0,0,0,0,Yes
354,1620,1620,6.93,6.93,No,?,0,0,0,0,Yes
912,2160,2160,7.46,7.46,No,?,0,0,0,82,Yes
788,2160,2160,8,8,No,?,0,0,0,152,Yes
903,648,648,50.67,50.67,No,?,0,0,0,152,Yes
366,648,648,5.33,5.33,Yes,10,0,0,0,0,Yes
843,1620,1620,5.33,5.33,No,?,0,0,0,65,Yes
233,1404,2808,5.33,10.67,No,?,0,0,0,30,Yes
817,1620,1620,5.33,5.33,No,?,0,0,0,0,Yes
519,1188,1188,5.33,5.33,Yes,7,0,0,0,28,Yes
268,1188,1188,5.33,5.33,No,?,0,0,0,135,Yes
208,1620,1620,5.33,5.33,No,?,0,0,0,0,Yes
771,1656,4968,5.33,16,Yes,10,0,0,4,105,Yes
514,1620,1620,5.33,5.33,No,?,0,0,0,0,Yes
272,2160,2160,5.33,5.33,No,?,0,0,0,0,Yes
748,2160,2160,5.33,5.33,No,?,0,0,0,1,Yes
294,1188,1188,5.33,5.33,No,?,0,0,0,184,Yes
422,1404,2808,6.73,13.45,Yes,9,0,0,1,199,Yes
699,1620,1620,5.33,5.33,Yes,10,0,0,0,59,Yes
673,2160,2160,8,8,Yes,10,0,0,0,0,Yes
708,648,648,8,8,Yes,10,0,0,0,249,Yes
798,2160,2160,9.87,9.87,No,?,0,0,0,0,Yes
937,1890,3780,6.87,13.74,No,?,0,0,0,15,Yes
823,1620,1620,6.7,6.7,Yes,10,0,0,2,57,Yes
183,324,324,10.66,10.66,Yes,10,0,0,0,0,Yes
356,1620,1620,4.46,4.46,No,?,0,0,0,0,Yes
458,2160,2160,8,8,No,?,0,0,0,186,Yes
925,1152,3456,5.33,16,No,?,0,0,0,0,Yes
933,1620,1620,8,8,No,?,0,0,0,0,Yes
228,1890,3780,5.33,10.66,No,?,0,0,0,182,Yes
77,1890,3780,15.46,30.92,No,?,0,0,0,212,Yes
948,1890,3780,8.3,16.61,Yes,8,0,0,0,114,Yes
18,2160,2160,5.33,5.33,No,?,0,0,0,61,Yes
525,1890,3780,7.69,15.37,No,?,0,0,0,0,Yes
652,2160,2160,5.33,5.33,No,?,0,0,0,45,Yes
588,1134,4536,5.66,22.66,No,?,0,0,0,0,Yes
198,1368,4104,5.33,16,No,?,0,0,0,138,Yes
987,1674,3348,5.74,11.49,Yes,10,0,0,0,29,Yes
698,648,648,12.27,12.27,No,?,0,0,0,0,Yes
212,1620,1620,8,8,No,?,0,0,0,105,Yes
668,1674,3348,8,16,Yes,10,0,0,0,0,Yes
374,2160,2160,5.33,5.33,No,?,0,0,0,0,Yes
214,2160,2160,6.55,6.55,No,?,0,0,0,24,Yes
526,2160,2160,8,8,No,?,0,0,0,186,Yes
784,1656,4968,5.33,16,No,?,0,0,0,160,Yes
251,1674,3348,5.33,10.67,No,?,0,0,0,0,Yes
18806,324,324,50.67,50.67,No,?,0,2116.8,0,0,Yes
20740,1188,1188,10.13,10.13,No,?,0,2112.48,0,0,Yes
20709,1620,1620,5.33,5.33,No,?,0,2112.48,0,1,Yes
20688,1404,2808,10.13,20.27,Yes,10,0,2112.48,0,0,Yes
1049,1404,2808,7.99,15.99,No,?,0,1603.8,0,139,Yes
1059,2160,2160,7.99,7.99,No,?,0,1603.8,0,125,Yes
1054,1188,1188,5.87,5.87,No,?,0,1603.8,0,210,Yes
1100,1188,1188,6.4,6.4,No,?,0,1603.8,0,0,Yes
1073,1188,1188,5.33,5.33,No,?,0,1603.8,0,217,Yes
997,1674,3348,5.33,10.67,No,?,0,1603.8,0,58,Yes
1085,1620,1620,5.61,5.61,No,?,0,1603.8,0,0,Yes
1018,1620,1620,8,8,Yes,10,0,1603.8,0,85,Yes
1003,1188,1188,6.55,6.55,No,?,0,1603.8,0,0,Yes
19087,2160,2160,5.69,5.69,No,?,0,1188,0,114,Yes
19117,2160,2160,8,8,Yes,10,0,1188,0,130,Yes
19183,864,1728,6.75,13.5,No,?,0,1188,0,0,Yes
19072,1188,1188,8,8,No,?,0,1188,0,0,Yes
13478,1188,1188,5.33,5.33,No,?,0,1166.4,0,31,Yes
13500,648,648,5.33,5.33,Yes,7,0,1166.4,0,0,Yes
13489,1620,1620,5.33,5.33,Yes,10,0,1166.4,1,156,Yes
13433,1242,4968,6.67,26.67,No,?,0,1166.4,0,286,Yes
13435,1620,1620,5.87,5.87,No,?,0,1166.4,0,129,Yes
