arousal,dynamics_rms_mean,dynamics_rms_std,pitch_pitch_mean,rhythm_attacktime_mean,rhythm_eventdensity_mean,rhythm_fluctuationmax_peakposmean,rhythm_pulseclarity_mean,rhythm_tempo_mean,rhythm_tempo_std,spectral_brightness_mean,spectral_brightness_std,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_flatness_std,spectral_inharmonicity_mean,spectral_irregularity_mean,spectral_kurtosis_mean,spectral_kurtosis_std,spectral_mfcc_mean_1,spectral_mfcc_mean_10,spectral_mfcc_mean_11,spectral_mfcc_mean_12,spectral_mfcc_mean_13,spectral_mfcc_mean_2,spectral_mfcc_mean_3,spectral_mfcc_mean_4,spectral_mfcc_mean_5,spectral_mfcc_mean_6,spectral_mfcc_mean_7,spectral_mfcc_mean_8,spectral_mfcc_mean_9,spectral_mfcc_std_1,spectral_mfcc_std_10,spectral_mfcc_std_11,spectral_mfcc_std_12,spectral_mfcc_std_13,spectral_mfcc_std_2,spectral_mfcc_std_3,spectral_mfcc_std_4,spectral_mfcc_std_5,spectral_mfcc_std_6,spectral_mfcc_std_7,spectral_mfcc_std_8,spectral_mfcc_std_9,spectral_novelty_mean,spectral_novelty_std,spectral_rolloff85_mean,spectral_rolloff85_std,spectral_rolloff95_mean,spectral_rolloff95_std,spectral_roughness_mean,spectral_skewness_mean,spectral_skewness_std,spectral_spectentropy_mean,spectral_spectentropy_std,spectral_spread_mean,spectral_spread_std,timbre_lowenergy_mean,timbre_lowenergy_std,timbre_spectralflux_mean,timbre_spectralflux_std,tonal_hcdf_mean,tonal_hcdf_std,tonal_keyclarity_mean,tonal_keyclarity_std,tonal_mode_mean,tonal_mode_std
-0.998351195,0.000504,0.001021,574.404807,0.127413,0.818331,2.398601,0.119705,113.570454,35.211139,0.687763,0.087872,9371.053535,2376.504099,0.55102,0.104965,0.426797,0.150439,2.029794,2.235221,1.946118,0.13212,-0.053709,-0.019433,0.114166,0.309604,0.278908,0.191143,0.265611,-0.010846,-0.046453,-0.237445,0.07273,0.530311,0.193866,0.345687,0.256633,0.186186,0.341156,0.382618,0.314149,0.281766,0.243244,0.255673,0.413976,0.193202,0.048333,0.126459,18433.08648,3611.516839,20664.78588,2086.212232,0.016834,0.282422,0.703281,0.902718,0.037261,7810.542269,1024.443513,5.882708,1.083246,0.621124,1.449162,0.424042,0.420066,0.404697,0.183361,-0.031606,0.075943
-0.995053586,0.001141,0.000228,851.325024,0.130204,5.237316,2.480637,0.149741,109.538225,52.869455,0.436027,0.073177,4290.88043,1526.340447,0.338846,0.026816,0.436972,0.257773,4.528653,0.496548,2.374874,0.021445,0.002098,0.054551,0.031325,0.207647,0.215706,-0.264678,0.326262,0.042618,0.227605,0.122307,0.10454,0.323413,0.137063,0.147043,0.137254,0.134025,0.150511,0.158704,0.185484,0.187297,0.159338,0.163913,0.141288,0.130651,0.041228,0.099572,10716.93341,2401.3106,19405.62518,344.539495,0.043443,1.661904,0.389227,0.823253,0.020358,6180.280046,319.894138,4.677437,0.426927,0.952365,0.227846,0.320558,0.119546,0.46071,0.136717,-0.021031,0.108207
-0.991755977,0.000547,0.000176,903.447681,0.126599,2.782324,2.087029,0.185464,126.231421,20.373623,0.628247,0.063946,6151.259456,1341.475954,0.535825,0.045039,0.44356,0.321943,2.919511,0.423319,1.695616,0.02243,0.050389,0.0113,-0.033697,-0.098391,-0.275514,-0.132319,0.049653,0.023188,0.027678,-0.0631,-0.026794,0.255559,0.139725,0.151704,0.129467,0.140697,0.171089,0.183156,0.159974,0.177625,0.181813,0.153751,0.149082,0.139997,0.075629,0.144224,15395.30979,1425.754626,19899.69256,272.628089,0.013943,1.056604,0.322216,0.906258,0.020578,6527.375582,311.725985,4.653559,0.394244,0.460291,0.145106,0.301067,0.133266,0.47835,0.126934,-0.024452,0.116265
-0.986809563,0.000494,6e-05,828.145784,0.130204,4.909984,2.754608,0.160029,136.737848,25.050795,0.815189,0.026024,12924.1553,4958.159811,0.748186,0.046763,0.483268,0.254939,1.7942,0.415566,0.882609,0.033129,0.056131,0.05585,0.064488,0.221121,0.212385,0.129496,0.140779,0.159569,0.145174,0.069926,0.03638,0.171507,0.130247,0.124767,0.1255,0.128657,0.129659,0.149379,0.13687,0.127861,0.139104,0.145679,0.134796,0.119458,0.073492,0.148668,17106.04745,485.041476,19551.12938,261.593852,0.057129,0.218821,0.206132,0.961356,0.008211,6545.970166,288.098971,4.604396,0.465349,0.425335,0.064561,0.240038,0.091293,0.456982,0.106645,-0.00722,0.087192
-0.981863149,0.000551,0.000377,847.429058,0.100198,0.654664,2.537954,0.086895,90.491539,22.191567,0.62281,0.085714,7175.66696,1534.525686,0.571853,0.070645,0.434678,0.346721,2.167102,0.891329,2.026177,0.073842,0.058012,0.071059,0.019381,0.291557,0.395265,0.14442,0.071194,0.104509,0.098394,0.119151,0.077141,0.522686,0.160494,0.162063,0.157597,0.145046,0.389613,0.312996,0.257011,0.25211,0.191649,0.180624,0.167896,0.159002,0.019441,0.070856,17168.52033,2215.832642,20218.03838,959.434352,0.022145,0.683847,0.406698,0.89863,0.024595,7201.523403,736.452853,5.514556,1.23015,0.487971,0.440317,0.368856,0.300907,0.427004,0.202209,-0.017662,0.094117
-0.980214345,0.018183,0.021743,206.335286,0.017048,0.981997,3.008757,0.148323,142.62752,37.592691,0.10103,0.049107,1515.351308,841.26451,0.087167,0.036767,0.433157,0.123331,20.559764,21.280169,2.758369,0.203652,0.172609,0.144112,0.124161,0.778383,0.822231,0.591957,0.526152,0.422671,0.354891,0.288688,0.248325,0.357868,0.077795,0.063001,0.059822,0.055337,0.386846,0.260077,0.249678,0.192112,0.162002,0.120785,0.101373,0.074702,0.029096,0.101579,1571.699524,3572.272491,11749.05396,7260.269762,6.093186,3.90598,1.790375,0.470874,0.065714,4431.989149,1349.719376,5.601856,2.182313,16.693177,24.800426,0.333302,0.247317,0.383434,0.117196,-0.031542,0.080948
-0.97856554,0.00961,0.009074,866.631127,0.029392,1.472995,2.147858,0.162267,156.467271,12.440985,0.232504,0.105537,2832.037716,1423.416092,0.222279,0.101977,0.16046,0.099346,8.691928,6.524215,2.61293,-0.069342,0.001741,0.048028,-0.024078,0.23218,0.068151,0.048502,0.017837,0.003376,0.150893,0.270968,0.065303,0.483249,0.26369,0.231713,0.162271,0.1428,0.322777,0.269114,0.319594,0.231437,0.196183,0.291311,0.336144,0.223009,0.033173,0.123332,7108.065491,5845.00775,16476.13037,4299.245211,0.04957,2.407244,1.041206,0.550973,0.118336,5544.992427,1254.565289,5.003997,1.150801,8.511594,9.267897,0.749476,0.483665,0.460691,0.131685,-0.024935,0.103808
-0.970321517,0.002057,0.000751,415.891384,0.016063,4.255319,2.107946,0.241482,135.208409,27.526178,0.380934,0.086666,4130.435752,1631.504405,0.349645,0.049671,0.435255,0.409429,4.342685,1.077319,2.606345,0.0337,-0.027276,0.075295,-0.028541,0.404446,0.675236,0.243027,0.041386,0.04556,0.168687,-0.120529,0.019305,0.384514,0.149392,0.149581,0.13492,0.144906,0.244392,0.241783,0.175883,0.184753,0.151521,0.166531,0.134468,0.138454,0.056711,0.113173,11688.40875,2989.123941,18989.71535,690.590208,0.080942,1.620538,0.353629,0.772377,0.048041,6241.46691,496.13932,4.784518,0.787521,1.891734,0.907145,0.281441,0.126704,0.437151,0.126869,-0.03502,0.096594
-0.968672712,0.00301,0.000836,415.284748,0.014219,4.909984,2.284663,0.121709,119.977408,15.88529,0.27273,0.096139,2584.057416,1707.819593,0.181042,0.03377,0.458983,0.313816,9.622559,2.647358,3.758472,0.011286,0.208716,-0.000787,0.103967,-0.305678,0.982771,0.145188,0.144864,0.064132,0.15577,0.176839,0.044106,0.526652,0.229227,0.230703,0.169881,0.201543,0.307253,0.459258,0.298781,0.240859,0.221846,0.194617,0.219219,0.225714,0.042116,0.113578,3558.871347,2362.632081,16881.58818,2202.479907,0.326005,2.718679,0.573592,0.719665,0.029296,4945.605814,501.239954,4.964301,0.595155,2.495017,0.804874,0.328566,0.134025,0.469693,0.134705,-0.04195,0.097509
-0.967023908,0.000704,0.000148,421.375429,0.134399,6.055646,2.617856,0.152546,74.285508,8.801503,0.649342,0.054321,7158.281783,1225.029923,0.611245,0.048615,0.471998,0.352041,2.086543,0.405649,1.50084,0.068989,0.116057,-0.059926,0.069381,0.502489,0.374399,0.309563,0.135429,0.141101,0.21446,0.022752,0.091556,0.243379,0.12413,0.176041,0.183789,0.131832,0.133902,0.158482,0.142932,0.182729,0.131767,0.203956,0.157995,0.138353,0.078324,0.150075,16674.40864,670.546158,19883.56482,261.515667,0.013531,0.625828,0.265161,0.899434,0.019569,6931.705992,345.95818,4.620773,0.437964,0.586974,0.167765,0.397557,0.201843,0.458281,0.129953,-0.035698,0.100608
